500, , , 8, 3338
600, , , 4, 2200
680, 10, 2416, 3, 1930
700, 8, 2044, 3, 1971
800, 5, 1545, 2, 1644
900, 3, 1093, 2, 1791
1000, 3, 1202, 1, 1312
1200, 2, 1044, 1, 1398
1400, 1, 839, 1, 1518
1800, 1, 883, 0, 795
2200, 1, 949, 0, 795
2400, 0, 611, 0, 795
